study,arm,year,treatment,n_randomized,d_r,rob_d
Smith2008,CBT-I,2008,CBT-I,15,6,L
Smith2008,Control,2008,Control,15,3,L
Jones2010,CBT-I,2010,CBT-I,20,8,S
Jones2010,Control,2010,Control,20,4,S
Brown2011,CBT-I,2011,CBT-I,18,7,L
Brown2011,Control,2011,Control,18,4,L
Taylor2012,CBT-I,2012,CBT-I,25,9,H
Taylor2012,Control,2012,Control,25,5,H
Wilson2013,CBT-I,2013,CBT-I,30,13,S
Wilson2013,Control,2013,Control,30,7,S
Johnson2014,CBT-I,2014,CBT-I,22,9,L
Johnson2014,Control,2014,Control,22,5,L
Davis2015,CBT-I,2015,CBT-I,28,11,H
Davis2015,Control,2015,Control,28,6,H
Miller2015,CBT-I,2015,CBT-I,35,15,S
Miller2015,Control,2015,Control,35,8,S
Moore2016,CBT-I,2016,CBT-I,40,17,H
Moore2016,Control,2016,Control,40,9,H
Thomas2016,CBT-I,2016,CBT-I,45,19,S
Thomas2016,Control,2016,Control,45,10,S
Jackson2017,CBT-I,2017,CBT-I,32,13,H
Jackson2017,Control,2017,Control,32,7,H
White2017,CBT-I,2017,CBT-I,38,16,S
White2017,Control,2017,Control,38,8,S
Harris2018,CBT-I,2018,CBT-I,50,21,L
Harris2018,Control,2018,Control,50,11,L
Martin2019,CBT-I,2019,CBT-I,42,18,S
Martin2019,Control,2019,Control,42,9,S
Thompson2019,CBT-I,2019,CBT-I,55,22,H
Thompson2019,Control,2019,Control,55,12,H
Garcia2020,CBT-I,2020,CBT-I,1800,756,S
Garcia2020,Control,2020,Control,1552,388,S
Martinez2021,CBT-I,2021,CBT-I,60,26,L
Martinez2021,Control,2021,Control,60,14,L
