study,arm,year,age_n,age_mean,age_sd,n_female,n_hypnotic,treatment,group1,group2,severity_scale,insomnia_diagnosis,mdd_diagnosis,n_randomized,n_remission,severity_baseline_n,severity_baseline_mean,severity_baseline_sd,severity_endpoint_n,severity_endpoint_mean,severity_endpoint_sd,n_dropout,PHQ9,d_r,d_bl_n,d_bl_m,d_bl_sd,d_response,d_ep_n,d_ep_m,d_ep_sd,sr,sc,cr,th,duration_weeks,rob_d,rob_i,rob_dropout
Manber2008,EsCIT+CBTI,2008,15,49.5,13.6,8,0,CBT-I,Active,In-person,ISI,1. formal_DSM,1. formal (DSM ICD),15,5,13,23.1,2.4,13,9.5,6.3,5,17,9,14,15.5,3.8,NA,14,5.8,5.6,1,1,1,0,9,L,L,L
Manber2008,EsCIT+CTRL,2008,15,47.8,13.4,10,0,Control,Active,In-person,ISI,1. formal_DSM,1. formal (DSM ICD),15,1,15,21.5,5,15,14.3,5.1,3,17,7,14,16.7,5.2,NA,14,8.8,7.3,0,0,0,0,9,L,L,L
Watanabe2011,BBTI+TAU,2011,20,52.9,11.6,15,NA,CBT-I,Active,In-person,ISI,2. informal_ISI,1. formal (DSM ICD),20,8,20,15.3,4.7,20,10.6,4.91934955,0,13,8,20,11.2,3.7,NA,20,7.6,6.708203932,1,1,0,0,4,S,S,L
Watanabe2011,TAU,2011,17,47.8,10.1,8,NA,Control,Active,In-person,ISI,2. informal_ISI,1. formal (DSM ICD),17,1,17,17.4,3.3,17,15.9,4.947726751,0,13,2,17,12.3,3.5,NA,17,14.5,7.009279564,0,0,0,0,4,S,S,L
Wagley2013,Treatment,2013,20,43.6,10.40519325,14,8,CBT-I,Waitlist,In-person,PSQI,2. informal (elevated score),2. informal (elevated scores),21,2,20,13.78,5.12,20,11.57,4.95,1,16.13,7,20,16.13,7.21,NA,20,10.87,7.41,1,1,1,0,4,S,S,S
Wagley2013,Waitlist,2013,10,48.2,10.40519325,7,2,Control,Waitlist,In-person,PSQI,2. informal (elevated score),2. informal (elevated scores),10,0,10,15.29,3.55,10,15,4.04,0,20.14,0,10,20.14,3.76,NA,10,19.86,3.24,0,0,0,0,4,S,S,S
NorellClarke2015,CBT-I,2015,NA,NA,NA,NA,NA,CBT-I,Active,In-person,*,1. formal_DSM,1. formal (DSM ICD),19,NA,NA,NA,NA,NA,NA,NA,NA,15,7,19,27.7,10.5,NA,19,17.7,13.3,1,1,1,0,8,H,*,*
NorellClarke2015,RT,2015,NA,NA,NA,NA,NA,Control,Active,In-person,*,1. formal_DSM,1. formal (DSM ICD),22,NA,NA,NA,NA,NA,NA,NA,NA,12,6,22,23.1,6.6,NA,22,19.5,12.1,0,0,0,0,8,H,*,*
Manber2016,CBTI,2016,75,48.3,12.7,53,0,CBT-I,Active,In-person,ISI,1. formal_DSM,1. formal (DSM ICD),75,31,75,19.4,4.3,56,8,6,17,18,28,75,17,4,NA,51,7.5,7,1,1,1,0,16,H,H,L
Manber2016,CTRL,2016,75,45,12.3,57,0,Control,Active,In-person,ISI,1. formal_DSM,1. formal (DSM ICD),75,15,75,18.3,3.9,48,11,8,24,18,26,75,17,4,NA,47,7.5,7,0,0,0,0,16,H,H,L
